Name,Team,BsR,NameASCII,PlayerId,MLBAMID
"Corbin Carroll","ARI",11.108929209411144,"Corbin Carroll",25878,682998
"Shohei Ohtani","LAD",9.729284025728703,"Shohei Ohtani",19755,660271
"Jarren Duran","BOS",8.319993518292904,"Jarren Duran",24617,680776
"Maikel Garcia","KCR",8.05544264614582,"Maikel Garcia",22715,672580
"Elly De La Cruz","CIN",7.476721882820129,"Elly De La Cruz",26668,682829
"Brice Turang","MIL",7.239509895443916,"Brice Turang",22186,668930
"Victor Robles","- - -",6.894572287797928,"Victor Robles",18363,645302
"José Ramírez","CLE",6.276000514626503,"Jose Ramirez",13510,608070
"Xavier Edwards","MIA",6.1770858988165855,"Xavier Edwards",22266,669364
"Jazz Chisholm Jr.","- - -",6.1439624056220055,"Jazz Chisholm Jr.",20454,665862
"David Hamilton","BOS",6.138723850250244,"David Hamilton",27531,666152
"Brenton Doyle","COL",5.327768370509148,"Brenton Doyle",25479,686668
"Oneil Cruz","PIT",5.264439158141613,"Oneil Cruz",21711,665833
"Anthony Volpe","NYY",5.037829414010048,"Anthony Volpe",27647,683011
"Zach McKinstry","DET",5.033259712159634,"Zach McKinstry",19392,656716
"Nico Hoerner","CHC",4.9809665158391,"Nico Hoerner",21479,663538
"Pete Crow-Armstrong","CHC",4.960696712136269,"Pete Crow-Armstrong",27769,691718
"Johan Rojas","PHI",4.752842806279659,"Johan Rojas",24336,679032
"Christian Yelich","MIL",4.68290188908577,"Christian Yelich",11477,592885
"Bryson Stott","PHI",4.599082909524441,"Bryson Stott",26294,681082
"Jake McCarthy","ARI",4.554303228855133,"Jake McCarthy",21622,664983
"Spencer Steer","CIN",4.5232203006744385,"Spencer Steer",26323,668715
"Bobby Witt Jr.","KCR",4.44422460347414,"Bobby Witt Jr.",25764,677951
"Dansby Swanson","CHC",4.423183262348175,"Dansby Swanson",18314,621020
"Wyatt Langford","TEX",4.381735883653164,"Wyatt Langford",33333,694671
"Zack Gelof","OAK",4.282119557261467,"Zack Gelof",29766,680869
"Jacob Young","WSN",4.274489045143127,"Jacob Young",29931,696285
"Dylan Moore","SEA",4.079893700778484,"Dylan Moore",18042,664238
"Kyle Isbel","KCR",4.0080587938427925,"Kyle Isbel",21614,664728
"Lane Thomas","- - -",3.9755981415510178,"Lane Thomas",16939,657041
"Francisco Lindor","NYM",3.9744388312101364,"Francisco Lindor",12916,596019
"Jackson Chourio","MIL",3.9645244255661964,"Jackson Chourio",28806,694192
"Gunnar Henderson","BAL",3.9544096887111664,"Gunnar Henderson",26289,683002
"Tyler Fitzgerald","SFG",3.8798627257347107,"Tyler Fitzgerald",26208,666149
"Jorge Mateo","BAL",3.854306250810623,"Jorge Mateo",17273,622761
"Lawrence Butler","OAK",3.773659609258175,"Lawrence Butler",22542,671732
"Jackson Merrill","SDP",3.7256134897470474,"Jackson Merrill",29490,701538
"Matt Chapman","SFG",3.6922648772597313,"Matt Chapman",16505,656305
"George Springer","TOR",3.4266877844929695,"George Springer",12856,543807
"Josh Lowe","TBR",3.3312040865421295,"Josh Lowe",19953,666139
"Sal Frelick","MIL",3.257891997694969,"Sal Frelick",29622,686217
"Cedric Mullins","BAL",3.2518115416169167,"Cedric Mullins",17929,656775
"Richie Palacios","TBR",3.0612771436572075,"Richie Palacios",24589,680700
"Whit Merrifield","- - -",3.0567539110779762,"Whit Merrifield",11281,593160
"Parker Meadows","DET",2.9548573717474937,"Parker Meadows",23800,678009
"Brandon Marsh","PHI",2.926822230219841,"Brandon Marsh",20202,669016
"José Caballero","TBR",2.9118110314011574,"Jose Caballero",23401,676609
"Michael Siani","STL",2.8326957300305367,"Michael Siani",22557,672279
"Geraldo Perdomo","ARI",2.7860644683241844,"Geraldo Perdomo",22799,672695
"Matt Vierling","DET",2.7727024778723717,"Matt Vierling",21558,663837
"Byron Buxton","MIN",2.7647383138537407,"Byron Buxton",14161,621439
"Jason Heyward","- - -",2.638843208551407,"Jason Heyward",4940,518792
"Trea Turner","PHI",2.625887081027031,"Trea Turner",16252,607208
"Xander Bogaerts","SDP",2.6248324885964394,"Xander Bogaerts",12161,593428
